Timestamp,Open,High,Low,Close,Volume
2012-01-03,175.89,179.475,175.55,8.9515,5110800
2012-01-04,179.21,180.5,176.065,8.8755,4205200
2012-01-05,175.94,178.25,174.05,8.8805,3809100
2012-01-06,178.07,184.65,177.5,9.1305,7008400
2012-01-09,182.76,184.37,177.0,8.928,5056900
2012-01-10,181.1,182.4,177.1,8.967,3985800
2012-01-11,179.64,180.77,178.19,8.945,3102700
2012-01-12,179.42,179.49,175.75,8.7965,5385800
2012-01-13,175.81,178.8,173.5,8.921,4753500
2012-01-17,180.15,183.3,178.51,9.083,5644500
2012-01-18,181.94,190.25,181.12,9.472,7473500
2012-01-19,190.88,195.94,190.36,9.7225,7096000
2012-01-20,190.71,192.9,189.04,9.5465,5610300
2012-01-23,190.79,191.73,185.23,9.3045,4585300
2012-01-24,185.0,188.41,183.82,9.35,4673800
2012-01-25,186.99,188.17,184.61,9.39,4306400
2012-01-26,189.3,194.85,188.73,9.6658,5873600
2012-01-27,193.09,196.5,192.33,9.7685,4659000
2012-01-30,193.68,195.0,190.13,9.6075,5424100
2012-01-31,194.0,195.63,189.7,9.722,12772200
2012-02-01,173.81,179.95,172.0,8.973,21336600
2012-02-02,179.65,181.9362,176.8,9.086,8736300
2012-02-03,182.83,187.9,181.89,9.384,8120500
2012-02-06,186.28,186.56,182.9201,9.157,5310000
2012-02-07,182.65,184.94,182.06,9.2095,5103900
2012-02-08,184.95,186.49,182.91,9.274,5476600
2012-02-09,184.5,185.69,181.76,9.249,7189200
2012-02-10,183.42,187.63,182.52,9.277,5797100
2012-02-13,187.17,192.4993,185.68,9.5795,6071400
2012-02-14,191.08,193.57,186.1,9.565,9527100
2012-02-15,191.29,191.54,183.26,9.2235,7794400
2012-02-16,177.79,181.68,175.14,8.9965,12563800
2012-02-17,180.09,183.41,179.36,9.125,7418100
2012-02-21,182.65,184.75,180.5768,9.113,6756500
2012-02-22,181.95,182.99,180.29,9.029,5785400
2012-02-23,178.78,180.75,176.96,8.9445,5153800
2012-02-24,179.7,180.74,178.37,8.9565,3668700
2012-02-27,177.54,179.19,176.5,8.9265,3706200
2012-02-28,178.9,184.29,177.95,9.19,5764500
2012-02-29,183.89,184.0,179.01,8.9845,5300300
2012-03-01,179.89,180.49,176.58,9.002,4936000
2012-03-02,179.48,181.84,178.918,8.965,3657800
2012-03-05,179.0,181.82,178.18,9.013,4682700
2012-03-06,178.68,183.5,178.04,9.0545,5612200
2012-03-07,182.65,185.5,182.4,9.1885,4951500
2012-03-08,184.17,188.38,183.8,9.382,4221500
2012-03-09,186.79,187.2,183.44,9.216,4510600
2012-03-12,184.13,185.4,182.2,9.1695,2587600
2012-03-13,183.92,184.87,180.77,9.2295,4405800
